X,Y,Name
-106.6700994,35.0941611,ART Old Town Bus Stop
-106.6551248,35.0848071,The Historic El Rey Theater
-106.6531616,35.0848362,505 Central Food Hall
-106.6273151,35.0818343,UNM Arts Lab
-106.6086845,35.0800445,M'tucci's Bar Roma
-106.7772985,35.0643201,West Central Route 66 Visitor Center at Nine Mile Hill
-106.6124662,35.0810421,Triangle Substation
-106.5244499,35.0708846,East Central Location
-106.6513898,35.084426,Rosenwald Building
-106.7772985,35.0643201,West Central Route 66 Visitor Center at Nine Mile Hill
-106.5715979,35.0759315,International District Location
